Project Name,URL,Language,Forks,Watchers,Size Byte,Stars,Topics,Contributors,Type
home-assistant/core,https://github.com/home-assistant/core,Python,17327,50180,324285,50180,"['asyncio', 'home-automation', 'internet-of-things', 'iot', 'mqtt', 'python', 'raspberry-pi']",3143,['Other']
apache/echarts,https://github.com/apache/echarts,TypeScript,18670,50055,215215,50055,"['apache', 'canvas', 'charting-library', 'charts', 'data-visualization', 'data-viz', 'echarts', 'svg', 'visualization']",193,['Other']
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,JavaScript,5141,49890,112276,49890,"['button', 'css-framework', 'dropdown', 'flexbox', 'popup', 'semantic', 'sidebar', 'tooltip', 'ui', 'ui-components']",225,"['Web Application', 'Framework']"
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,22695,49172,136826,49172,"['data-analysis', 'data-science', 'machine-learning', 'python', 'statistics']",2503,['AI']
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,JavaScript,5233,47929,7288,47929,"['apple', 'awesome', 'awesome-list', 'awesome-lists', 'list', 'mac', 'mac-osx', 'macos', 'macosx', 'software']",410,['Other']
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,JavaScript,6365,47354,1711,47354,"['angular', 'concepts', 'es6', 'es6-javascript', 'hacktoberfest', 'javascript', 'javascript-closures', 'javascript-engines', 'javascript-programming', 'nodejs', 'primitive-types', 'programming', 'react']",103,['Web Application']
grafana/grafana,https://github.com/grafana/grafana,TypeScript,9339,47241,533011,47241,"['alerting', 'analytics', 'business-intelligence', 'dashboard', 'data-visualization', 'elasticsearch', 'go', 'grafana', 'hacktoberfest', 'influxdb', 'metrics', 'monitoring', 'mysql', 'postgres', 'prometheus']",1872,['Other']
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,14779,47193,207074,47193,[],117,['Other']
iptv-org/iptv,https://github.com/iptv-org/iptv,JavaScript,8338,47111,393790,47111,"['iptv', 'm3u', 'playlist', 'streams', 'tv']",161,['Other']
psf/requests,https://github.com/psf/requests,Python,8644,46994,12819,46994,"['client', 'cookies', 'forhumans', 'http', 'humans', 'python', 'python-requests', 'requests']",710,['Other']
necolas/normalize.css,https://github.com/necolas/normalize.css,CSS,10555,46809,379,46809,"['css', 'css-reset', 'normalize-css']",42,['Web Application']
azl397985856/leetcode,https://github.com/azl397985856/leetcode,JavaScript,8784,46751,133353,46751,"['algo', 'algorithm', 'algorithms', 'algorithms-datastructures', 'computer-science', 'cpp', 'data-structures', 'interview', 'java', 'javascript', 'leetcode', 'leetcode-solutions', 'python', 'tree']",75,['Other']
godotengine/godot,https://github.com/godotengine/godot,C++,8424,46662,853881,46662,"['game-development', 'game-engine', 'gamedev', 'godot', 'godotengine', 'multi-platform', 'open-source']",1836,['Other']
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,13587,46449,129736,46449,"['angular', 'capacitor', 'framework', 'frontend', 'ionic', 'ios', 'javascript', 'material-design', 'mobile', 'pwa', 'react', 'stencil', 'stenciljs', 'typescript', 'vue', 'web', 'webcomponents']",462,"['Mobile App', 'Web Application', 'Framework']"
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,Java,32781,46348,172666,46348,"['framework', 'spring', 'spring-framework']",734,"['Web Application', 'Framework']"
moment/moment,https://github.com/moment/moment,JavaScript,7031,46309,19995,46309,[],670,['Other']
remix-run/react-router,https://github.com/remix-run/react-router,TypeScript,9008,46204,16165,46204,[],749,['Other']
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,Java,7569,45804,132782,45804,"['flow', 'java', 'reactive-streams', 'rxjava']",318,['Web Application']
jgthms/bulma,https://github.com/jgthms/bulma,CSS,3860,45173,98278,45173,"['css', 'css-framework', 'design', 'flexbox', 'html']",383,"['Web Application', 'Framework']"
nestjs/nest,https://github.com/nestjs/nest,TypeScript,4930,44983,246854,44983,"['framework', 'javascript', 'javascript-framework', 'microservices', 'nest', 'nestjs', 'node', 'nodejs', 'nodejs-framework', 'typescript', 'typescript-framework', 'websockets']",336,"['Web Application', 'Framework']"
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,Java,6450,44791,31168,44791,[],4,['Other']
apache/superset,https://github.com/apache/superset,TypeScript,8666,44765,357415,44765,"['analytics', 'apache', 'apache-superset', 'asf', 'bi', 'business-analytics', 'business-intelligence', 'data-analysis', 'data-analytics', 'data-engineering', 'data-science', 'data-visualization', 'data-viz', 'flask', 'python', 'react', 'sql-editor', 'superset']",768,['Web Application']
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,Java,14610,44565,2614,44565,"['algorithm', 'algorithm-challenges', 'algorithms', 'algorithms-datastructures', 'data-structures', 'hacktoberfest', 'java', 'search', 'sort', 'sorting-algorithms']",373,['Other']
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,JavaScript,3212,44532,153827,44532,[],323,['Other']
jekyll/jekyll,https://github.com/jekyll/jekyll,Ruby,9717,44190,43072,44190,"['blog-engine', 'jekyll', 'liquid', 'markdown', 'ruby', 'static-site-generator']",1166,['Other']
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,C++,7837,44153,52074,44153,"['hacktoberfest', 'lstm', 'machine-learning', 'ocr', 'ocr-engine', 'tesseract', 'tesseract-ocr']",190,['AI']
google/guava,https://github.com/google/guava,Java,9757,43753,371775,43753,"['guava', 'java']",421,['Other']
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,JavaScript,6601,43517,102,43517,[],56,['Other']
strapi/strapi,https://github.com/strapi/strapi,JavaScript,5282,43449,339144,43449,"['api', 'cms', 'cms-framework', 'content-management', 'content-management-system', 'customizable', 'dashboard', 'graphql', 'hacktoberfest', 'headless-cms', 'jamstack', 'javascript', 'koa', 'koa2', 'mysql', 'nodejs', 'rest', 'strapi']",831,"['Web Application', 'Framework']"
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,Python,12023,43284,103937,43284,"['face-detection', 'face-recognition', 'machine-learning', 'python']",47,['AI']
soimort/you-get,https://github.com/soimort/you-get,Python,8782,43248,3599,43248,[],238,['Other']
syncthing/syncthing,https://github.com/syncthing/syncthing,Go,3343,43242,118758,43242,"['go', 'p2p', 'peer-to-peer', 'synchronization']",283,['Other']
python/cpython,https://github.com/python/cpython,Python,22052,43095,452238,43095,[],1938,['Other']
scrapy/scrapy,https://github.com/scrapy/scrapy,Python,9532,42903,22521,42903,"['crawler', 'crawling', 'framework', 'hacktoberfest', 'python', 'scraping']",517,"['Web Application', 'Framework']"
meteor/meteor,https://github.com/meteor/meteor,JavaScript,5197,42818,113684,42818,"['build-system', 'framework', 'hacktoberfest', 'javascript', 'meteor', 'mongodb', 'nodejs', 'npm', 'reactive-programming', 'zero-configuration']",783,"['Web Application', 'Framework']"
tiangolo/fastapi,https://github.com/tiangolo/fastapi,Python,3234,42535,11239,42535,"['api', 'async', 'asyncio', 'fastapi', 'framework', 'json', 'json-schema', 'openapi', 'openapi3', 'pydantic', 'python', 'python-types', 'python3', 'redoc', 'rest', 'starlette', 'swagger', 'swagger-ui', 'uvicorn', 'web']",285,"['Web Application', 'Framework']"
3b1b/manim,https://github.com/3b1b/manim,Python,4700,42491,73750,42491,"['3b1b-videos', 'animation', 'explanatory-math-videos', 'python']",151,['Other']
junegunn/fzf,https://github.com/junegunn/fzf,Go,1843,42366,4344,42366,"['bash', 'cli', 'fish', 'fzf', 'go', 'neovim', 'tmux', 'unix', 'vim', 'zsh']",203,['Other']
serverless/serverless,https://github.com/serverless/serverless,JavaScript,5154,42236,94478,42236,"['aws', 'aws-dynamodb', 'aws-lambda', 'azure-functions', 'google-cloud-functions', 'microservice', 'serverless', 'serverless-architectures', 'serverless-framework']",1100,"['Web Application', 'Framework']"
prettier/prettier,https://github.com/prettier/prettier,JavaScript,3195,42017,81434,42017,"['angular', 'ast', 'css', 'flow', 'formatter', 'graphql', 'html', 'javascript', 'json', 'jsx', 'less', 'markdown', 'prettier', 'printer', 'scss', 'typescript', 'vue', 'yaml']",594,['Web Application']
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,Python,1998,41995,330,41995,[],83,['Other']
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,Jupyter Notebook,15196,41688,10242,41688,"['deep-learning', 'examples', 'machine-learning', 'python', 'tensorflow', 'tutorial']",72,['AI']
juliangarnier/anime,https://github.com/juliangarnier/anime,JavaScript,3434,41685,47925,41685,"['animation', 'anime', 'canvas', 'css', 'javascript', 'javascript-library', 'svg']",55,['Web Application']
square/okhttp,https://github.com/square/okhttp,Kotlin,8781,41672,46053,41672,"['android', 'graalvm', 'java', 'kotlin']",291,['Mobile App']
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,6858,41253,143006,41253,"['alerting', 'graphing', 'hacktoberfest', 'metrics', 'monitoring', 'prometheus', 'time-series']",771,['Other']
git/git,https://github.com/git/git,C,23035,41232,188629,41232,"['c', 'hacktoberfest', 'shell']",2019,['Other']
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,JavaScript,6095,41180,65418,41180,"['css', 'curriculum', 'education', 'hacktoberfest', 'html', 'javascript', 'learning']",134,['Web Application']
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,JavaScript,17518,40531,132040,40531,"['admin', 'admin-dashboard', 'admin-panel', 'admin-template', 'bootstrap']",121,['Other']
yarnpkg/yarn,https://github.com/yarnpkg/yarn,JavaScript,2804,40503,119352,40503,"['javascript', 'npm', 'package-manager', 'yarn']",535,['Other']
babel/babel,https://github.com/babel/babel,TypeScript,5240,40502,84001,40502,"['ast', 'babel', 'compiler', 'es2015', 'es6', 'flavortown', 'javascript']",1081,['Other']
JetBrains/kotlin,https://github.com/JetBrains/kotlin,Kotlin,4992,40501,1403663,40501,"['compiler', 'gradle-plugin', 'intellij-plugin', 'kotlin', 'kotlin-library', 'maven-plugin', 'programming-language']",736,['Other']
deepfakes/faceswap,https://github.com/deepfakes/faceswap,Python,11534,40429,200176,40429,"['deep-face-swap', 'deep-learning', 'deep-neural-networks', 'deepface', 'deepfakes', 'deeplearning', 'face-swap', 'faceswap', 'fakeapp', 'machine-learning', 'myfakeapp', 'neural-nets', 'neural-networks', 'openfaceswap']",88,['AI']
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,JavaScript,2097,40313,28879,40313,"['assets', 'build-tool', 'commonjs', 'compiler', 'css', 'es6', 'html', 'javascript', 'module-bundler', 'modules', 'web']",343,['Web Application']
android/architecture-samples,https://github.com/android/architecture-samples,Kotlin,11040,40247,12284,40247,"['android', 'android-architecture', 'samples']",58,['Mobile App']
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,Go,10465,39718,38326,39718,[],418,['Other']
TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,8597,39679,70273,39679,"['blogging', 'cms', 'ember', 'ghost', 'hacktoberfest', 'headless-cms', 'jamstack', 'javascript', 'journalism', 'nodejs', 'publishing', 'web-application']",447,['Web Application']
square/retrofit,https://github.com/square/retrofit,Java,7067,39623,5694,39623,"['android', 'java']",189,['Mobile App']
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,Dart,5794,39579,2448,39579,"['android', 'awesome', 'awesome-list', 'collections', 'cross-platform', 'dartlang', 'flutter', 'flutter-apps', 'flutter-examples', 'flutter-plugin', 'flutter-plugins', 'ios', 'material-design', 'mobile', 'mobile-app', 'mobile-development', 'reactive-programming', 'resources']",317,"['Mobile App', 'Web Application']"
nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,3204,39517,43486,39517,"['framework', 'isomorphic', 'nuxt', 'server-rendering', 'ssr', 'universal', 'vue', 'vue-router', 'vuex', 'web-app']",326,"['Web Application', 'Framework']"
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,Go,8397,39181,55105,39181,"['golang', 'http-proxy', 'proxy', 'shadowsocks', 'socks', 'socks5', 'v2ray', 'vmess']",98,['Other']
